Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433255.png"" height=""40""></img>",Chet Holmgren,Forward,20.1,84,"7'6""",195,13,25.2,13,2.3,2.1,0.3,3.3,2,6.4,8.4,2,50,13,30,67.5,68.5,22.2,15.3,17.9,0.7,13,9.7,24.9,18.1,126.2,79.1,1.3,1.2,2.5,7.5,6.8,14.3
2,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432573.png"" height=""40""></img>",Paolo Banchero,Forward,19.6,82,"7'0 1/2 """,250,12,28.4,17.1,2.2,2.2,1.4,0.7,1.3,6,7.3,1.9,61,12,47,52.7,57.9,29.2,13.3,12.8,2.8,2.3,5.4,22.3,14.2,114.1,87.5,1.1,0.9,2.1,4.5,2.3,6.9
3,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432639.png"" height=""40""></img>",Jabari Smith,Forward,19.1,82,"7'0""",220,13,27.2,16.2,2.2,1.7,1.7,0.9,0.7,6.2,6.9,1.8,40,30,40,54.1,58.4,27.3,16.1,10.9,3.5,3.8,2.7,24.2,13.6,117.8,82.9,1.2,1.1,2.4,7.8,5.3,13.1
4,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433218.png&w=350&h=254"" height=""40""></img>",Jaden Ivey,Combo Guard,20.4,76,"6'10""",195,13,28.2,16.7,3.2,2.4,1.3,0.5,0.4,4.7,5.1,1.8,47,28,39,62.7,64.9,26.8,20.5,15.6,2.7,2.3,1.8,17.6,10.6,124.8,93.6,1.6,0.8,2.4,7,3.3,10.3
5,"<img src=""https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1630702.png"" height=""40""></img>",Jaden Hardy,Wing,20,76,"6'8 1/2 """,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433621.png"" height=""40""></img>",Jalen Duren,Big,18.6,83,"7'5 1/4 """,250,11,24.5,11.1,1.2,2.2,0.8,2.6,2.5,5,7.5,2.8,50,0,22,67.60000000000001,66.3,19.8,9.7,20.7,1.8,12.1,12,21.3,17,115.4,89.6,0.7,0.7,1.3,3.3,4.2,7.5
7,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433246.png"" height=""40""></img>",Patrick Baldwin Jr.,Wing,19.6,81,"6'11""",220,7,30.1,15,1.9,2,0.9,0.9,1,6,7,1.6,20,15,20,44.7,48.9,29.8,14.6,11.5,1.6,2.9,3.7,19.3,12,96.6,97.9,0.2,0.4,0.6,2.6,-0.4,2.3
8,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433254.png"" height=""40""></img>",Kendall Brown,Wing,19.1,80,"6'11""",205,13,24.2,12.3,1.5,1.3,1.2,0.4,1.5,2.4,3.9,2,62,5,21,71.6,71.89999999999999,19.2,10.9,13.3,2.7,1.8,7.2,11,9.1,134.8,84.5,1.3,0.9,2.2,6.6,4.4,11
9,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683634.png&w=350&h=254"" height=""40""></img>",Bennedict Mathurin,Wing,20,78,"6'10""",210,12,31.3,18.3,2.1,2.1,1.1,0.3,2.2,4.4,6.6,1.7,48,28,39,58.4,61.8,24.4,11,12.4,1.8,1.1,8,13.5,11,122.6,87.6,1.4,1,2.4,7.5,2.8,10.3
10,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683749.png"" height=""40""></img>",TyTy Washington,Combo Guard,20.6,75,"6'9""",197,13,30.5,14,3.9,1.6,1.1,0.2,0.9,3.2,4.2,1.5,56,19,13,56.3,57.699999999999996,21,20.3,11.8,2,0.8,3.5,11.1,7.5,125.5,89.7,1.4,1,2.4,4.7,3.4,8.1
11,"<img src=""https://bloximages.newyork1.vip.townnews.com/kmaland.com/content/tncms/assets/v3/editorial/9/9e/99eaa014-4bec-11ec-b405-7b1f0aa0c765/619c28e50acad.image.png"" height=""40""></img>",Keegan Murray,Forward,21.8,80,"6'11 3/4 """,225,12,28.2,23.7,1.4,1.1,1.6,2,3,5.2,8.2,1.5,92,16,52,62.7,66.10000000000001,32.1,11,5.7,3.1,7.7,11.8,19.9,15.9,138.3,91.1,2.4,0.8,3.2,13.9,2.2,16.2
12,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-78-e1600304996499.png"" height=""40""></img>",Jean Montero,Lead Guard,19,74.25,"6'4 1/2 """,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433623.png"" height=""40""></img>",Caleb Houstan,Wing,19.5,80,NA,205,12,31.3,9.3,1.4,2.1,0.7,0.3,0.7,3.6,4.3,1.9,17,19,21,46.9,51.2,18.1,7.7,18.6,1.2,1.1,2.6,12.1,7.7,97,99.6,0.2,0.6,0.8,0.2,1.2,1.4
14,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432646.png&w=350&h=254"" height=""40""></img>",Kennedy Chandler,Lead Guard,19.8,72,"6'5""",171,11,29.8,14,5.3,2.2,2,0.5,0.6,2.4,3,1.6,44,16,18,50.4,52.6,25.1,32.6,14.1,3.8,1.9,2.3,9.1,5.5,110.7,87.4,0.9,0.9,1.8,4.6,4.4,8.9
15,"<img src=""https://id-prospects.com/wp-content/uploads/2021/04/Jovic.png"" height=""40""></img>",Nikola Jovic,Wing,19,82,"7'2 1/4 """,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"<img src=""https://snworksceo.imgix.net/dtc/bbd77980-f810-43fd-91dd-62db18c287b7.sized-1000x1000.jpeg?w=1000&ar=4%3A3&fit=crop&crop=faces&facepad=3&auto=format&dpr=1.5"" height=""40""></img>",AJ Griffin,Wing,18.8,78,"7'0""",222,12,14,6.7,0.9,0.3,0.5,0.6,0.8,1.7,2.5,0.7,17,13,7,66.4,68.60000000000001,17.9,10.8,4.9,2,4.2,6.8,12.6,9.8,144.1,92.3,0.8,0.4,1.1,8.3,2.4,10.7
17,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4576085.png"" height=""40""></img>",JD Davison,Combo Guard,19.7,75,"6'4 1/2 """,195,13,23.9,8.4,4.4,3.2,0.8,0.2,1.4,3.6,5,0.8,28,8,29,56.3,60.199999999999996,19.6,29.1,31.2,1.7,1,6.4,15.2,11,107.1,101.2,0.6,0.4,1,4.1,2.4,6.5
18,"<img src=""https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1630700.png"" height=""40""></img>",Dyson Daniels,Combo Guard,19.3,78,"6'8 3/4 """,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432356.png"" height=""40""></img>",Jonathan Davis,Combo Guard,20.3,77,NA,196,10,33.8,20.8,2.5,1.9,1.5,0.7,1.5,5.1,6.6,1.5,60,14,46,47.9,53.300000000000004,32.7,19.2,8.9,2.7,2.3,4.7,17.2,10.7,111.4,92.8,1.1,0.7,1.9,8.4,3.4,11.8
20,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432645.png&w=350&h=254"" height=""40""></img>",Trevor Keels,Combo Guard,18.8,76,"6'5""",221,12,30.8,12.7,2.9,1.3,1.9,0,0.7,2.7,3.3,1.3,35,19,25,49.2,51.9,21.5,14.8,9.3,3.5,0,2.5,9.2,6,111.1,92.9,0.8,0.8,1.6,2.4,2.5,4.9
21,"<img src=""https://www.euroleague.net/rs/bdkb5obnjr88p4u3/c4974b14-d249-46d4-9092-0e470e8d733d/1d0/filename/c49.jpg"" height=""40""></img>",Ousmane Dieng,Wing,19.1,82,"7'1""",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-79-e1600305650293.png"" height=""40""></img>",Yannick Nzosa,Big,18.6,84,"7'4""",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"<img src=""https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432247.png"" height=""40""></img>",Peyton Watson,Wing,19.8,80,"7'0""",200,9,13.8,3.9,0.9,1.1,0.7,0.6,1.1,2.9,4,1.9,13,1,6,30.9,34.4,23.5,10.2,16.4,2.8,4.6,8.6,24.5,16.2,80,87.5,-0.1,0.3,0.2,-5.2,2.7,-2.6
24,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4576086.png"" height=""40""></img>",Bryce McGowens,Wing,19.6,79,"6'9""",179,13,33.2,15.6,1.6,1.8,0.7,0.5,0.8,5.2,5.9,2.5,48,15,62,45.2,52.7,24.6,9.9,11.1,1.1,1.8,2.5,15.5,9.2,103.5,101.7,0.7,0.6,1.3,1.1,-0.5,0.6
25,"<img src=""https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701232.png"" height=""40""></img>",Mark Williams,Big,20.5,84,"7'7""",242,12,19.1,8.4,1.1,0.4,0.8,2.9,2.4,3.3,5.7,2.1,44,0,13,67.7,67.80000000000001,17,9.5,6.3,2.2,15.3,14.5,18,16.3,145.7,82.9,1.1,0.7,1.8,6.9,6.2,13.1
26,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592187.png"" height=""40""></img>",Wendell Moore,Wing,20.9,77.25,"6'11 1/2 """,213,12,31.5,17,5,1.8,1.4,0.1,1.1,4.4,5.5,1.3,59,19,29,65.8,67.10000000000001,22.4,27.3,12.1,2.5,0.3,3.9,14.8,9.6,134,92.6,1.9,0.8,2.7,9.2,3,12.2
27,"<img src=""https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1630699.png"" height=""40""></img>",MarJon Beauchamp,Wing,21.7,78,"7'0""",199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433618.png"" height=""40""></img>",Harrison Ingram,Forward,19.6,80,"7'0""",230,12,29.9,12.2,3.1,1.8,0.9,0.3,2.3,4.6,6.9,1.8,37,13,33,47.099999999999994,52,22.6,21.1,13.5,1.8,1,9.3,18.7,14,114,102,1,0.5,1.4,4.9,1,6
29,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432582.png&w=350&h=254"" height=""40""></img>",Max Christie,Wing,19.4,78.25,"6'9""",190,12,29.9,9.4,1.6,1.3,0.5,0.7,0.8,2.5,3.3,1.1,22,16,21,44.2,48.4,18.3,9.2,12,1,2.3,3,8.6,6,101.9,99.7,0.4,0.6,0.9,1.1,1.9,3.1
30,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397018.png"" height=""40""></img>",Ochai Agbaji,Wing,22.2,77.5,"6'10""",214.4,12,33.6,20.6,1.6,1.2,1.1,0.3,1.1,3.6,4.7,1.1,60,34,25,63.800000000000004,64.8,24.5,8.4,6.8,1.8,0.9,4,13.1,8.5,131.8,97.1,1.8,0.7,2.5,9.5,1.2,10.7
31,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432848.png&w=350&h=254"" height=""40""></img>",Jaime Jaquez,Wing,21.3,79,"6'9 1/4 """,225,9,29.1,14.8,2.4,1.6,1.2,0.4,2.1,4.3,6.4,1.6,41,9,24,50.5,53.2,25.4,15.1,10.1,2.4,1.7,7.7,17.4,12.3,115.5,92.7,0.8,0.6,1.4,6,3.1,9.2
32,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/2940.png"" height=""40""></img>",Roko Prkacin,Forward,19.6,81.25,"6'11""",225.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432446.png"" height=""40""></img>",Jabari Walker,Forward,19.9,81,"7'0""",215,12,26.8,13.3,1.3,2.1,0.8,0.7,2.3,5.8,8.1,2,42,9,49,47.8,54.1,27.8,10.4,14.5,1.7,3,10.2,24.8,17.7,108.6,92.4,0.8,0.7,1.5,3.5,0.8,4.4
34,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592479.png"" height=""40""></img>",Julian Champagnie,Wing,21,79.5,"6'10""",217.4,10,32.9,20.3,2.1,1.4,2.1,1.5,1.5,5.2,6.7,1.1,46,29,24,55.900000000000006,57.9,26.7,12,7.4,3.4,5,5.2,16.7,11.2,118.5,91.8,1.1,0.8,1.9,7,1,8
35,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431778.png&w=350&h=254"" height=""40""></img>",Christian Koloko,Big,22,85,"7'5""",230,12,23.4,12.8,1.2,1.3,1.2,3.3,2.3,4.7,6.9,3,60,0,34,62.5,65.3,21.4,8.4,11.3,2.6,14.5,11,19.1,15.4,130.2,75.5,1.1,1.1,2.2,5.2,7.8,13.1
36,"<img src=""https://id-prospects.com/wp-content/uploads/2020/11/Ismael-Kamagate.png"" height=""40""></img>",Ismael Kamagate,Big,21.4,83,"7'2 3/4 """,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432821.png"" height=""40""></img>",E.J. Liddell,Forward,21.5,79,"6'11 3/4 """,242.8,10,29.4,20.6,2.7,3.2,0.6,3,2.5,4.7,7.2,2.6,58,12,54,60.8,64.1,34.5,21.1,16.6,1.2,10.5,11.2,16.7,14.3,120,95.3,1.5,0.6,2.1,9.6,4.7,14.3
38,"<img src=""https://a.espncdn.com/i/headshots/nbadraft/players/full/105503.png"" height=""40""></img>",Hugo Besson,Combo Guard,21.2,76,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4611412.png&w=350&h=254"" height=""40""></img>",Daimion Collins,Forward,19.7,81,"7'4 3/4 """,190,13,11.4,4.5,0.3,0.9,0.4,1.3,1.2,2,3.2,1.8,26,0,7,65,66.60000000000001,17.7,4.2,21.3,1.9,11.5,11.8,18.3,15.2,116.6,79.5,0.3,0.5,0.9,-0.6,5.6,5
40,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433249.png"" height=""40""></img>",Moussa Diabate,Forward,20.4,82.8,"7'1""",209,11,19.9,8.1,0.7,1.4,0.3,0.9,2.3,3.5,5.7,1.8,33,2,17,60,59.599999999999994,20.7,7,16.7,0.8,4.7,13.9,18.3,16.3,114,95.7,0.5,0.4,1,3.7,1.7,5.4
41,"<img src=""https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1630701.png"" height=""40""></img>",Michael Foster,Forward,19.4,80,"6'11 1/2 """,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4610139.png"" height=""40""></img>",Jeremy Sochan,Forward,19.1,81,"6'11 3/4 """,230,13,22.7,8.8,2.2,1.5,1.3,0.8,2.1,4.4,6.5,2,30,12,18,57.099999999999994,57.199999999999996,18.9,15,16,3.2,4.3,10.4,21.5,16,118,78,0.8,1.1,1.9,4.6,5.5,10.1
43,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702177.png"" height=""40""></img>",Keon Ellis,Wing,22.5,78,NA,175,13,31.8,12.2,2.2,1.5,1.4,0.6,1.8,4.9,6.7,2.1,25,25,33,57.9,62.7,16.2,10.8,13.1,2.4,2,6.1,15.6,11,129.5,99,1.3,0.7,2,6,4.1,10.2
44,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432847.png"" height=""40""></img>",Terrence Shannon,Wing,20.9,78.5,"6'8 1/4 """,206.6,6,26.3,14.3,2.2,2.3,1,0.2,0.7,2.5,3.2,1.5,18,11,17,56.599999999999994,61,26.2,16,16.6,2.2,1,3.1,10.8,7.1,117.4,88,0.5,0.4,1,5.1,3,8.1
45,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432817.png&w=350&h=254"" height=""40""></img>",Johnny Juzang,Wing,21.3,79,"6'10 1/2 """,215,9,30.1,16.6,2.1,2.2,0.6,0.2,0.8,4.1,4.9,1.9,41,18,13,49.6,51.7,29,13.3,12.2,1.1,0.8,2.7,15.9,9,104.7,96.7,0.5,0.5,1,2.6,0.7,3.4
